NO,LATE,GENDER,MARITAL,DISTRICT,EMPLOYMENT,INCOME,INSTALLMENT,TENOR,IG_MONTH,POSTING_MIDNIGHT,REL_ACCOUNT,FOLLOWERS,FOLLOWING,IGPOST_MONTH
77,0,MALE,MARRIED,KABUPATEN BANDUNG,OTHER,3000000,3240000,6,58,1,1,2856,1043,3
78,0,MALE,MARRIED,OTHER,KARYAWAN,6700000,2844000,6,36,2,4,141,137,1
79,23,MALE,SINGLE,KABUPATEN BANDUNG,KARYAWAN,9730985,1713000,6,58,8,0,1929,865,6
80,0,FEMALE,MARRIED,OTHER,OTHER,3000000,1631844,12,39,0,1,748,254,3
81,39,MALE,MARRIED,KABUPATEN BANDUNG,MANAJER,2074000,332340,12,16,1,5,194,662,5
82,0,MALE,MARRIED,OTHER,KARYAWAN,2500000,900360,9,48,2,0,645,408,5
83,0,MALE,MARRIED,OTHER,KARYAWAN,15000000,3535000,5,70,0,42,220,396,5
84,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,5466841,7836000,12,78,6,0,2113,677,9
85,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,7100000,3019500,11,35,0,2,421,466,2
86,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,5000000,2499000,3,14,3,4,421,301,2
87,0,MALE,MARRIED,OTHER,KARYAWAN,5500000,1695000,6,53,0,95,317,286,9
88,0,MALE,MARRIED,KOTA BANDUNG,WIRASWASTA,4800000,1476000,6,16,0,7,227,128,5
89,0,MALE,SINGLE,OTHER,KARYAWAN,4470000,2073000,6,68,1,27,1035,1602,1
90,89,MALE,SINGLE,KABUPATEN BANDUNG,WIRASWASTA,4000000,3939000,6,32,4,0,655,500,2
91,0,MALE,MARRIED,KOTA BANDUNG,OTHER,10000000,3018000,6,23,1,22,780,968,2
92,0,FEMALE,MARRIED,OTHER,KARYAWAN,4000000,2673000,6,29,4,0,766,890,4
93,167,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,8847422,1791000,6,53,7,0,1222,794,1
94,0,MALE,SINGLE,OTHER,WIRASWASTA,4500000,2247000,6,60,1,2,2500,861,3
95,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,3200000,3244500,3,56,0,27,440,433,1
96,0,MALE,MARRIED,KABUPATEN BANDUNG,OTHER,1500000,543000,6,49,0,1,446,328,8
97,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,3000000,301500,3,19,1,0,126,336,1
98,0,MALE,MARRIED,KOTA BANDUNG,WIRASWASTA,12500000,17846844,12,49,0,0,1494,266,4
99,0,MALE,MARRIED,OTHER,OTHER,5000000,5028000,12,82,0,0,131,31,1
100,0,FEMALE,SINGLE,OTHER,KARYAWAN,1700000,2160000,10,53,0,0,300,992,2
